Feature,MI_Score
F3411,0.002489057045376164
F891,0.0024887840264296024
F2289,0.0024867727425447184
F1108,0.0024818222780175203
F3856,0.0024771537526693255
F3472,0.0024769473785165586
F3636,0.002474476174724627
F3378,0.0024710586089201625
F3404,0.002470418048503009
F1211,0.0024691320655880755
F164,0.0024675969018166377
F1704,0.002464150217110661
F625,0.0024634571356695334
F2846,0.002461978613300775
F1067,0.002461257778472614
F1434,0.002460934780611934
F634,0.0024568189301327203
F3580,0.0024564639985728
F219,0.0024518449041286416
F3227,0.0024506730401380183
F953,0.002448300162000261
F3396,0.0024480409307202633
F1702,0.002446993106634543
F3402,0.0024469614311606325
F3257,0.00244258854189483
F24,0.002440766992454768
F1106,0.0024386725553322552
F3634,0.0024333119008698167
F3069,0.0024321946331411493
F1056,0.0024320331473687284
F3194,0.002429389919731406
F3059,0.0024279136978624383
F1811,0.002427184986714015
F2032,0.0024262553892548944
F847,0.0024258883507326523
F2187,0.002421032835872916
F2085,0.002419335543056844
F1747,0.0024171185065132716
F3061,0.002417021371931116
F3066,0.002415745392471802
F3641,0.002415051209486596
F1422,0.0024069097568177877
F1436,0.002406755137067673
F1642,0.0024065490353986085
F1309,0.0024024823713780785
F407,0.002399692493364358
F1028,0.002394884715142931
F2190,0.002394879391389826
F3268,0.0023940653274248103
F2003,0.0023898811153526545
F1262,0.0023856809884161834
F2960,0.002384983795682749
F1423,0.0023843118709940825
F1366,0.0023837284453585017
F2080,0.0023798296117863993
F2351,0.0023744699178338546
F3446,0.002373629226879781
F1125,0.002373450837756752
F3798,0.002372087930424316
F1909,0.002372034807135659
F3559,0.002370617137797071
F3310,0.0023653313700182643
F2450,0.0023638219813492123
F1653,0.002362200681152782
F2034,0.0023616864546661676
F1540,0.002361466033185655
F2124,0.0023540532654288127
F1751,0.0023534420534799816
F3064,0.0023529436751712485
F3158,0.0023502517545024304
F3407,0.002349210682376146
F101,0.0023480679963095996
F2009,0.0023464042134460072
F2956,0.002345198987063868
F2059,0.002341351301308525
F3110,0.0023370995182393495
F1195,0.002336058509627925
F119,0.00233543342018272
F2134,0.0023320851830676004
F2444,0.00233168528468064
F2950,0.002330993588647634
F2436,0.0023301853212894796
F2792,0.0023290188814040214
F1428,0.002326242438432713
F3738,0.002323072316174235
F3113,0.0023175264511560156
F3368,0.002316072308245487
F2644,0.0023154632090639504
F68,0.0023145473538699335
F3455,0.002313844514104435
F3180,0.0023112271240223192
F3342,0.00231114979671454
F2585,0.0023107590194247907
F995,0.002310593477016676
F427,0.0023088949244824963
F2078,0.0023085433987425352
F3294,0.002308091331916229
F2848,0.0023061216393011064
F1608,0.002301374194068395
F1111,0.0022963977401503355
F230,0.002293537920880384
F3222,0.0022932107531655754
F1405,0.0022874804862531573
F3397,0.0022869716688307395
F3810,0.0022867527761587514
F3218,0.002280138920982888
F1284,0.00227411386574361
F2447,0.002273467362974513
F3062,0.0022721236207291495
F3057,0.0022690748659514037
F3160,0.002266617298807283
F1421,0.0022653305662176937
F3098,0.0022637089296138058
F1283,0.002261706646743966
F2533,0.0022593780041508804
F3232,0.0022590358877775385
F1907,0.0022586109937640098
F850,0.002257709233322247
F578,0.0022554664059890595
F2453,0.00225340533044327
F3363,0.002251198145840849
F2142,0.0022499832198811243
F2073,0.002248971901060881
F3177,0.002248730712176128
F3667,0.002246734316262211
F3149,0.002242695115389992
F3471,0.002241873698743624
F3298,0.0022415290243319452
F462,0.0022411594285645098
F1938,0.002240907991875263
F2339,0.002240013404608221
F1548,0.0022312533131190193
F1693,0.0022257810305499337
F2062,0.0022248442066519214
F419,0.002223621771373474
F1237,0.0022220521424340944
F3742,0.0022164552990958653
F3300,0.0022133732330059663
F3280,0.0022100221896257377
F2044,0.002206423826613735
F959,0.0022023847509433647
F241,0.0022012596687049912
F553,0.002200562456378008
F569,0.0021941295717268217
F2026,0.0021934551805602442
F1162,0.0021899091051362785
F2488,0.002189827637606223
F3392,0.0021892969614007995
F3060,0.0021872546741883436
F555,0.0021848556667181107
F3744,0.0021841441631269554
F2379,0.002183247457277382
F3835,0.0021831131675645876
F3291,0.002181782372557395
F946,0.002181365703700089
F2391,0.0021710648219388506
F1086,0.002169994740356951
F3209,0.002169494129025229
F460,0.002167398903691664
F3360,0.0021641993565113538
F1600,0.002162771516688422
F3374,0.0021617845757818666
F3181,0.0021613951078089944
F3058,0.0021599289291482915
F3664,0.0021595038457296045
F3100,0.0021592090316472357
F2395,0.0021584619855494758
F889,0.002154464748296392
F3295,0.002150938305849337
F2851,0.0021491131029371946
F2649,0.002148269486098364
F3272,0.002147348811076588
